id,title,provider,category,level,primary_language,other_languages,url,free_access,certificate,academic_credits,self_paced,status,quality_score,recommendation_score,last_verified,review_interval_days,next_review,why_recommended
harvard-cs50x,CS50's Introduction to Computer Science,Harvard University / CS50,computer-science,beginner,en,,https://cs50.harvard.edu/x/,F0_FULL_CREDENTIAL,free_provider_certificate,optional_paid_or_external,True,active,9.88,9.9,2026-09-09,90,2026-12-08,"Reference-quality introduction to computer science with demanding problem sets, broad fundamentals, and a final project."
harvard-cs50p,CS50's Introduction to Programming with Python,Harvard University / CS50,computer-science,beginner,en,,https://cs50.harvard.edu/python/,F0_FULL_CREDENTIAL,free_provider_certificate,none_by_default,True,active,9.68,9.6,2026-09-09,90,2026-12-08,"One of the strongest structured Python introductions, with graded problems and a substantive final project."
harvard-cs50-ai,CS50's Introduction to Artificial Intelligence with Python,Harvard University / CS50,ai-data,intermediate,en,,https://cs50.harvard.edu/ai/,F0_FULL_CREDENTIAL,free_provider_certificate,none_by_default,True,active,9.62,9.7,2026-09-09,90,2026-12-08,"Project-heavy AI foundations spanning search, optimisation, machine learning, neural networks and language."
harvard-cs50-sql,CS50's Introduction to Databases with SQL,Harvard University / CS50,computer-science,beginner,en,,https://cs50.harvard.edu/sql/,F0_FULL_CREDENTIAL,free_provider_certificate,optional_paid_or_external,True,active,9.58,9.6,2026-09-09,90,2026-12-08,"Excellent database fundamentals from querying and schema design through indexing, optimisation and scaling."
helsinki-full-stack-open,Full Stack Open,University of Helsinki,computer-science,intermediate,en,,https://fullstackopen.com/en/,F0_FULL_CREDENTIAL,free_provider_certificate,free_ects_available,True,active,9.64,9.9,2026-09-09,90,2026-12-08,"Exceptionally practical modern web-development curriculum with React, Node.js, testing, TypeScript, CI/CD and more."
helsinki-python-mooc-2026,Python Programming MOOC 2026,University of Helsinki,computer-science,beginner_to_intermediate,en,,https://programming-26.mooc.fi/,F0_FULL_CREDENTIAL,academic_completion_route,free_ects_available_subject_to_rules,False,active,9.67,9.7,2026-09-09,60,2026-11-08,Large exercise-driven sequence corresponding to Helsinki's introductory and advanced programming courses (5+5 ECTS).
portswigger-web-security-academy,Web Security Academy,PortSwigger,cybersecurity-it,beginner_to_advanced,en,,https://portswigger.net/web-security,F1_FULL_ASSESSMENTS,paid_external_exam_only,none,True,active,9.9,9.9,2026-09-09,90,2026-12-08,Continuously updated web-security training with extensive interactive labs and structured learning paths.
google-ml-crash-course,Machine Learning Crash Course,Google for Developers,ai-data,beginner_to_intermediate,en,pt-BR,https://developers.google.com/machine-learning/crash-course,F1_FULL_ASSESSMENTS,none,none,True,active,9.44,9.5,2026-09-09,90,2026-12-08,"Current, compact and highly interactive ML foundation with browser exercises, production topics, LLMs and fairness."
mit-18-06sc-linear-algebra,18.06SC Linear Algebra,MIT OpenCourseWare,math-statistics,undergraduate,en,,https://ocw.mit.edu/courses/18-06sc-linear-algebra-fall-2011/,F2_CONTENT_ONLY,none,none,True,active_archive,9.74,9.6,2026-09-09,365,2027-09-09,"Gilbert Strang's canonical linear algebra course with lectures, exercises, exams and self-study materials."
yale-game-theory,Game Theory (ECON 159),Open Yale Courses,finance-economics,undergraduate,en,,https://oyc.yale.edu/economics/econ-159,F2_CONTENT_ONLY,none,none,True,active_archive,9.36,9.2,2026-09-09,365,2027-09-09,"Outstanding strategic-thinking course covering dominance, Nash equilibrium, signalling, credibility and asymmetric information."
yale-introduction-psychology,Introduction to Psychology (PSYC 110),Open Yale Courses,psychology-behavior,undergraduate,en,,https://oyc.yale.edu/introduction-psychology/psyc-110,F2_CONTENT_ONLY,none,none,True,active_archive,9.0,8.9,2026-09-09,365,2027-09-09,"Broad, engaging introduction to mind and behaviour; excellent fundamentals despite the age of the recordings."
yale-death,Death (PHIL 176),Open Yale Courses,humanities-philosophy,undergraduate,en,,https://oyc.yale.edu/death/phil-176,F2_CONTENT_ONLY,none,none,True,active_archive,9.06,9.0,2026-09-09,365,2027-09-09,"A rigorous, unusually accessible philosophical examination of identity, mortality, value and rational attitudes toward death."
yale-financial-markets-2011,Financial Markets (ECON 252),Open Yale Courses,finance-economics,undergraduate,en,,https://oyc.yale.edu/economics/econ-252,F2_CONTENT_ONLY,none,none,True,active_archive,9.05,8.8,2026-09-09,365,2027-09-09,"Excellent foundations in risk, behavioural finance, securities, insurance and banking; dated examples require current supplementation."
hubspot-digital-marketing,Digital Marketing Certification Course,HubSpot Academy,marketing-sales,beginner,en,,https://academy.hubspot.com/courses/digital-marketing,F0_FULL_CREDENTIAL,free_provider_certificate,none,True,active,8.95,9.2,2026-09-09,120,2027-01-07,"High return-on-time introduction to practical digital marketing for small businesses and marketers, with a free certification."
pmi-kickoff,KICKOFF,Project Management Institute (PMI),project-product-leadership,beginner,en,,https://www.pmi.org/kickoff/,F0_FULL_CREDENTIAL,free_badge,none,True,active,8.91,9.0,2026-09-09,180,2027-03-08,"A concise, authoritative introduction to predictive and agile project-management basics with usable templates and a badge."
openai-agents-workflows,Agents & Workflows,OpenAI Academy,ai-data,beginner_to_intermediate,en,,https://openai.com/academy/,F0_FULL_CREDENTIAL,free_provider_certificate,none,True,active,9.09,9.4,2026-09-09,60,2026-11-08,"Current practical training on directing agents, reviewing outputs, refining results and reusing workflow patterns."
kaggle-intro-machine-learning,Intro to Machine Learning,Kaggle Learn,ai-data,beginner,en,,https://www.kaggle.com/learn/intro-to-machine-learning,F0_FULL_CREDENTIAL,free_provider_certificate,none,True,active,9.02,9.2,2026-09-09,90,2026-12-08,Fast practical onboarding to core supervised-ML workflows with hands-on notebook exercises and a free completion certificate.
